imgName,cameraID,vehicleID,fold
021284.jpg,c026,0347,3
022106.jpg,c033,0308,3
017633.jpg,c002,0005,0
019639.jpg,c022,0343,2
030656.jpg,c016,0388,4
013137.jpg,c027,0424,1
032370.jpg,c001,0074,1
008022.jpg,c003,0044,2
036507.jpg,c004,0005,0
008474.jpg,c021,0402,3
021750.jpg,c012,0250,4
009158.jpg,c010,0246,0
016832.jpg,c022,0434,2
007530.jpg,c017,0357,1
021629.jpg,c017,0363,1
005166.jpg,c020,0395,0
015506.jpg,c027,0377,1
007027.jpg,c027,0374,0
033110.jpg,c023,0436,0
012420.jpg,c032,0272,0
029739.jpg,c027,0445,0
012595.jpg,c016,0340,0
034922.jpg,c026,0384,4
030723.jpg,c004,0087,3
016199.jpg,c032,0279,2
010697.jpg,c032,0268,1
011775.jpg,c022,0413,3
036589.jpg,c022,0430,2
004763.jpg,c017,0365,4
034523.jpg,c002,0077,0
003702.jpg,c030,0283,0
002589.jpg,c028,0363,1
001458.jpg,c022,0436,0
012854.jpg,c016,0418,4
020376.jpg,c016,0398,1
014444.jpg,c017,0373,2
012487.jpg,c017,0360,2
007507.jpg,c023,0377,1
014154.jpg,c018,0260,4
019985.jpg,c025,0371,4
029574.jpg,c032,0273,4
011635.jpg,c002,0070,4
026054.jpg,c028,0432,3
026675.jpg,c028,0444,1
026118.jpg,c018,0414,2
025991.jpg,c018,0379,2
036058.jpg,c028,0400,0
036137.jpg,c018,0413,3
021711.jpg,c035,0303,2
010317.jpg,c027,0431,2
035695.jpg,c029,0449,2
014683.jpg,c026,0451,4
034323.jpg,c023,0435,1
010784.jpg,c002,0031,3
021332.jpg,c016,0388,4
015141.jpg,c002,0026,1
009242.jpg,c001,0072,0
020920.jpg,c026,0436,0
015479.jpg,c029,0448,1
004750.jpg,c003,0061,4
020325.jpg,c020,0349,3
027672.jpg,c034,0436,0
007609.jpg,c022,0352,4
035456.jpg,c010,0243,2
026755.jpg,c030,0282,4
014129.jpg,c020,0386,3
002575.jpg,c027,0457,3
007952.jpg,c016,0341,0
000372.jpg,c004,0004,1
022985.jpg,c025,0430,2
018215.jpg,c017,0383,2
033044.jpg,c026,0397,1
009135.jpg,c020,0402,3
018387.jpg,c002,0027,2
014575.jpg,c004,0011,4
023700.jpg,c019,0420,2
030262.jpg,c029,0475,2
022153.jpg,c032,0276,0
001924.jpg,c025,0373,2
001595.jpg,c005,0082,2
020307.jpg,c028,0351,0
003624.jpg,c029,0354,1
016922.jpg,c028,0469,3
028794.jpg,c027,0444,1
007179.jpg,c026,0386,3
030704.jpg,c010,0252,2
003448.jpg,c027,0395,0
018184.jpg,c027,0457,3
029605.jpg,c024,0348,3
034018.jpg,c004,0091,0
036880.jpg,c018,0340,0
019429.jpg,c018,0358,4
027944.jpg,c027,0463,3
006347.jpg,c018,0386,3
001541.jpg,c001,0040,1
004785.jpg,c027,0400,0
000381.jpg,c002,0029,3
014759.jpg,c027,0298,3
006926.jpg,c038,0260,4
010754.jpg,c014,0249,4
027240.jpg,c022,0448,1
012501.jpg,c025,0392,2
035418.jpg,c017,0405,3
004190.jpg,c018,0376,1
002021.jpg,c027,0476,0
013141.jpg,c018,0340,0
023120.jpg,c021,0417,4
002781.jpg,c023,0351,0
011134.jpg,c023,0395,0
028279.jpg,c028,0370,4
015960.jpg,c032,0283,0
006784.jpg,c018,0374,0
030624.jpg,c020,0339,0
024857.jpg,c016,0416,0
029191.jpg,c019,0392,2
024386.jpg,c005,0032,0
004772.jpg,c016,0345,1
011076.jpg,c035,0474,3
030748.jpg,c023,0347,3
009944.jpg,c023,0343,2
019930.jpg,c005,0013,0
027483.jpg,c038,0322,1
033185.jpg,c017,0358,4
028538.jpg,c021,0424,1
001446.jpg,c018,0403,3
024099.jpg,c022,0371,4
017485.jpg,c017,0384,4
011609.jpg,c002,0033,1
006496.jpg,c026,0261,0
013889.jpg,c003,0050,4
014819.jpg,c002,0087,3
024506.jpg,c001,0073,3
007107.jpg,c020,0413,3
008878.jpg,c034,0449,2
027996.jpg,c025,0380,4
003206.jpg,c027,0298,3
008165.jpg,c014,0257,4
025025.jpg,c023,0405,3
019828.jpg,c017,0369,4
027142.jpg,c023,0392,2
006912.jpg,c005,0011,4
029347.jpg,c002,0087,3
031533.jpg,c023,0447,4
015692.jpg,c017,0394,2
022944.jpg,c018,0386,3
007862.jpg,c025,0334,3
010745.jpg,c025,0402,3
005662.jpg,c023,0376,1
019516.jpg,c021,0363,1
032105.jpg,c035,0302,0
035260.jpg,c010,0245,3
018055.jpg,c023,0429,3
014200.jpg,c005,0063,4
024890.jpg,c027,0369,4
006886.jpg,c017,0347,3
006931.jpg,c016,0347,3
032513.jpg,c027,0420,2
030496.jpg,c021,0261,0
014079.jpg,c026,0405,3
021069.jpg,c026,0408,0
035871.jpg,c022,0378,4
015021.jpg,c023,0426,3
012425.jpg,c001,0039,3
006221.jpg,c022,0405,3
036055.jpg,c016,0383,2
018208.jpg,c020,0402,3
008852.jpg,c027,0461,2
014540.jpg,c024,0385,0
015926.jpg,c017,0389,1
024699.jpg,c005,0025,0
023391.jpg,c017,0353,2
033542.jpg,c027,0398,1
032622.jpg,c025,0345,1
033638.jpg,c017,0290,1
011259.jpg,c027,0363,1
